iter	RMSE
0	12.40213468
1	10.61828101
2	9.187213046
3	8.167303817
4	7.556498493
5	6.999255305
6	6.507125944
7	6.19008342
8	5.931375885
9	5.750894314
10	5.600033987
11	5.493409171
12	5.416482141
13	5.355277313
14	5.305074726
15	5.249322583
16	5.193392732
17	5.172951369
18	5.141461793
19	5.085423412
20	5.056052728
21	5.031577867
22	5.008542584
23	4.987960527
24	4.970716378
25	4.94678493
26	4.912109736
27	4.88064258
28	4.866603948
29	4.839916591
30	4.829925911
31	4.815011646
32	4.787774135
33	4.754411597
34	4.71888517
35	4.690062759
36	4.670770971
37	4.635413357
38	4.62504653
39	4.614028955
40	4.595421524
41	4.561200114
42	4.545992996
43	4.492926093
44	4.489057973
45	4.449938633
46	4.408689878
47	4.377438513
48	4.356675645
49	4.341092779
50	4.328338075
51	4.292975061
52	4.283648566
53	4.279544798
54	4.247992194
55	4.225784175
56	4.210326491
57	4.185051466
58	4.160104306
59	4.141224616
60	4.122780994
61	4.097937828
62	4.056236449
63	4.051076857
64	4.041121748
65	4.029024501
66	4.007202019
67	3.970596652
68	3.944126184
69	3.927732549
70	3.902815422
71	3.891975811
72	3.878236968
73	3.87042498
74	3.858622833
75	3.827896209
76	3.79762394
77	3.777278772
78	3.77593696
79	3.75197941
80	3.737014761
81	3.728266195
82	3.713802611
83	3.709435787
84	3.700105329
85	3.699186091
86	3.659384023
87	3.639915741
88	3.627529009
89	3.600012651
90	3.58950172
91	3.579656347
92	3.561735502
93	3.537108446
94	3.51735004
95	3.49723391
96	3.490948921
97	3.482038302
98	3.46764432
99	3.453552191
