iter	Passed	Remaining
0	148	14736
1	149	7333
2	150	4864
3	151	3627
4	151	2885
5	152	2390
6	153	2037
7	154	1773
8	154	1567
9	155	1400
10	156	1265
11	157	1154
12	158	1060
13	159	979
14	160	908
15	160	845
16	161	789
17	162	738
18	162	694
19	163	655
20	165	621
21	165	588
22	166	558
23	167	530
24	168	504
25	168	480
26	169	458
27	170	438
28	171	418
29	171	400
30	172	383
31	173	367
32	173	352
33	174	338
34	175	325
35	175	312
36	177	301
37	178	290
38	179	280
39	179	269
40	180	259
41	181	250
42	182	241
43	182	232
44	183	224
45	184	216
46	184	208
47	185	200
48	186	193
49	186	186
50	187	180
51	188	174
52	189	167
53	190	162
54	191	156
55	192	151
56	192	145
57	193	140
58	194	135
59	194	129
60	195	125
61	196	120
62	197	115
63	198	111
64	198	107
65	199	102
66	200	98
67	201	94
68	201	90
69	202	86
70	203	83
71	204	79
72	205	76
73	206	72
74	207	69
75	208	65
76	208	62
77	209	59
78	210	55
79	210	52
80	211	49
81	212	46
82	212	43
83	213	40
84	215	37
85	216	35
86	217	32
87	217	29
88	218	27
89	219	24
90	219	21
91	220	19
92	221	16
93	221	14
94	222	11
95	223	9
96	224	6
97	225	4
98	226	2
99	228	0
